n=1000  elapsed=19.6s
  LPRNet  : 888/1000 = 88.8%
  rpv3    : 906/1000 = 90.6%

--- disagreements (LPRNet wrong) ---
  皖AA9Z96.jpg            gt=皖AA9Z96   lpr=皖AA97Z96  rpv3=皖AA9Z96   [rpv3 OK]
  皖AB166M.jpg            gt=皖AB166M   lpr=皖AG166M   rpv3=沪A3A656   [both wrong]
  皖AB921S.jpg            gt=皖AB921S   lpr=皖AB921S5  rpv3=皖AB921S   [rpv3 OK]
  皖ABB313.jpg            gt=皖ABB313   lpr=皖ABB315   rpv3=皖ABB313   [rpv3 OK]
  皖ABH733.jpg            gt=皖ABH733   lpr=皖AB733    rpv3=皖ABH733   [rpv3 OK]
  皖AC161T.jpg            gt=皖AC161T   lpr=皖AC161T1  rpv3=皖AC161T   [rpv3 OK]
  皖AC1758.jpg            gt=皖AC1758   lpr=皖AC117358 rpv3=皖AC1758   [rpv3 OK]
  皖AC585P.jpg            gt=皖AC585P   lpr=皖AC585D   rpv3=皖AC585P   [rpv3 OK]
  皖AC705T.jpg            gt=皖AC705T   lpr=皖AC705T1  rpv3=皖AC705T   [rpv3 OK]
  皖AC828S.jpg            gt=皖AC828S   lpr=皖AC8283A  rpv3=皖AC828S   [rpv3 OK]
  皖AC8J48.jpg            gt=皖AC8J48   lpr=皖AC8JA8   rpv3=粤AD8J48   [both wrong]
  皖ACC998.jpg            gt=皖ACC998   lpr=皖AUCC998  rpv3=皖ACC998   [rpv3 OK]
  皖ACD429.jpg            gt=皖ACD429   lpr=皖AC0429   rpv3=皖ACD429   [rpv3 OK]
  皖ACD775.jpg            gt=皖ACD775   lpr=皖AC0775   rpv3=皖ACD775   [rpv3 OK]
  皖AE877C.jpg            gt=皖AE877C   lpr=皖AE8770C  rpv3=皖AE877C   [rpv3 OK]
  皖AE9639.jpg            gt=皖AE9639   lpr=皖AE96369  rpv3=皖AE9639   [rpv3 OK]
  皖AG0D55.jpg            gt=皖AG0D55   lpr=GAGDDB5B  rpv3=皖AG0D55   [rpv3 OK]
  皖AGS527.jpg            gt=皖AGS527   lpr=皖A0GS527  rpv3=皖AGS527   [rpv3 OK]
  皖AH030P.jpg            gt=皖AH030P   lpr=皖AH030B   rpv3=皖AH030P   [rpv3 OK]
  皖AH7F99.jpg            gt=皖AH7F99   lpr=藏A1       rpv3=皖AH7F99   [rpv3 OK]
  皖AH926B.jpg            gt=皖AH926B   lpr=皖AH92Z6B  rpv3=桂AH926B   [both wrong]
  皖AJ0J22.jpg            gt=皖AJ0J22   lpr=黑95       rpv3=E3B7      [both wrong]
  皖AJ7642.jpg            gt=皖AJ7642   lpr=皖AJ1642   rpv3=皖AJ7642   [rpv3 OK]
  皖AJ8F18.jpg            gt=皖AJ8F18   lpr=津AJ8F18   rpv3=皖AJ8F18   [rpv3 OK]
  皖AJ932K.jpg            gt=皖AJ932K   lpr=皖AY932KV  rpv3=鄂N9932K   [both wrong]
  皖AJ998V.jpg            gt=皖AJ998V   lpr=皖AJ998N   rpv3=粤AJ998V   [both wrong]
  皖AJU922.jpg            gt=皖AJU922   lpr=闽JU922    rpv3=陕AJU922   [both wrong]
  皖AJV196.jpg            gt=皖AJV196   lpr=皖AJ1V196  rpv3=皖AJV196   [rpv3 OK]
  皖AJV866.jpg            gt=皖AJV866   lpr=皖AJ1V866  rpv3=皖AJV866   [rpv3 OK]
  皖AK383K.jpg            gt=皖AK383K   lpr=青AK383K   rpv3=皖AK383K   [rpv3 OK]
  皖AK700C.jpg            gt=皖AK700C   lpr=皖AK7000   rpv3=皖AK700C   [rpv3 OK]
  皖AKS189.jpg            gt=皖AKS189   lpr=皖AAKS189  rpv3=皖AKS189   [rpv3 OK]
  皖AKW105.jpg            gt=皖AKW105   lpr=皖AKW106   rpv3=赣AKW165   [both wrong]
  皖AL136E.jpg            gt=皖AL136E   lpr=皖AL13G5   rpv3=皖AL136E   [rpv3 OK]
  皖AL193R.jpg            gt=皖AL193R   lpr=皖AL1393R  rpv3=A173      [both wrong]
  皖AL5W29.jpg            gt=皖AL5W29   lpr=皖262X     rpv3=皖4229     [both wrong]
  皖ALN856.jpg            gt=皖ALN856   lpr=皖A1LN856  rpv3=皖ALN856   [rpv3 OK]
  皖ALR022.jpg            gt=皖ALR022   lpr=蒙ALRD39   rpv3=皖ALR022   [rpv3 OK]
  皖ALW592.jpg            gt=皖ALW592   lpr=皖ALW59    rpv3=皖ALW592   [rpv3 OK]
  皖AP666P.jpg            gt=皖AP666P   lpr=皖8666P    rpv3=R6560     [both wrong]
  皖AQQ677.jpg            gt=皖AQQ677   lpr=皖AQ0677   rpv3=皖AQQ677   [rpv3 OK]
  皖AR8X99.jpg            gt=皖AR8X99   lpr=皖ASSJY9   rpv3=粤AR8X99   [both wrong]
  皖AS0825.jpg            gt=皖AS0825   lpr=QAS082    rpv3=云AS0825   [both wrong]
  皖AS522L.jpg            gt=皖AS522L   lpr=皖AS5221   rpv3=皖AS522L   [rpv3 OK]
  皖AS6X81.jpg            gt=皖AS6X81   lpr=皖A5S6AX81 rpv3=皖AS6X81   [rpv3 OK]
  皖AS836Z.jpg            gt=皖AS836Z   lpr=皖AS8367   rpv3=粤A3S8361  [both wrong]
  皖ASS990.jpg            gt=皖ASS990   lpr=皖ASS5990  rpv3=皖ASS990   [rpv3 OK]
  皖ASZ600.jpg            gt=皖ASZ600   lpr=皖AS7600   rpv3=皖ASZ600   [rpv3 OK]
  皖AT0D33.jpg            gt=皖AT0D33   lpr=皖AT00330  rpv3=皖AT0D33   [rpv3 OK]
  皖AT813C.jpg            gt=皖AT813C   lpr=皖AT8130   rpv3=皖AT813C   [rpv3 OK]
  皖ATC890.jpg            gt=皖ATC890   lpr=豫AJG83G   rpv3=皖ATC890   [rpv3 OK]
  皖AU833R.jpg            gt=皖AU833R   lpr=皖A833R    rpv3=京AU833R   [both wrong]
  皖AUS393.jpg            gt=皖AUS393   lpr=皖AUGS393  rpv3=皖AUS393   [rpv3 OK]
  皖AV6T88.jpg            gt=皖AV6T88   lpr=皖AV6188   rpv3=皖AV6T88   [rpv3 OK]
  皖AVQ091.jpg            gt=皖AVQ091   lpr=皖AVQ0091  rpv3=皖AVQ091   [rpv3 OK]
  皖AVQ225.jpg            gt=皖AVQ225   lpr=皖AV0225   rpv3=湘ANQ225   [both wrong]
  皖AW1A28.jpg            gt=皖AW1A28   lpr=皖AVW1A28  rpv3=皖AW1A28   [rpv3 OK]
  皖AW5V00.jpg            gt=皖AW5V00   lpr=皖AWV00    rpv3=陕AW5V00   [both wrong]
  皖AX5716.jpg            gt=皖AX5716   lpr=皖A5716    rpv3=皖AX5716   [rpv3 OK]
  皖AX702L.jpg            gt=皖AX702L   lpr=皖AX70217  rpv3=皖AX702L   [rpv3 OK]
  皖AX788P.jpg            gt=皖AX788P   lpr=皖AX788D   rpv3=皖AX788P   [rpv3 OK]
  皖AX799L.jpg            gt=皖AX799L   lpr=皖AX799L1  rpv3=皖AX7991   [both wrong]
  皖AY1V22.jpg            gt=皖AY1V22   lpr=皖A1V22    rpv3=皖AY1V22   [rpv3 OK]
  皖AY5L09.jpg            gt=皖AY5L09   lpr=津AGL09    rpv3=皖AY5L09   [rpv3 OK]
  皖AY605B.jpg            gt=皖AY605B   lpr=皖AY605BH  rpv3=皖A605B    [both wrong]
  皖AY710V.jpg            gt=皖AY710V   lpr=津AY710V   rpv3=皖AY710V   [rpv3 OK]
  皖AYG248.jpg            gt=皖AYG248   lpr=皖AY6G248  rpv3=皖AYG248   [rpv3 OK]
  皖AZ1X26.jpg            gt=皖AZ1X26   lpr=皖A1X26    rpv3=皖AZ1X26   [rpv3 OK]
  皖AZ835P.jpg            gt=皖AZ835P   lpr=皖AZ83B5P  rpv3=皖AZ835P   [rpv3 OK]
  皖AZ9D80.jpg            gt=皖AZ9D80   lpr=皖AZ79D80  rpv3=皖AZ9D80   [rpv3 OK]
  皖BU5521.jpg            gt=皖BU5521   lpr=皖1U5521   rpv3=皖BU5521   [rpv3 OK]
  皖DFX886.jpg            gt=皖DFX886   lpr=皖DFX882   rpv3=皖DFX886   [rpv3 OK]
  皖DJ9650.jpg            gt=皖DJ9650   lpr=赣D9650    rpv3=湘DJ9650   [both wrong]
  皖N1B096.jpg            gt=皖N1B096   lpr=皖N1B092   rpv3=皖N1B096   [rpv3 OK]
  皖NXT689.jpg            gt=皖NXT689   lpr=皖NXT6897  rpv3=皖NXT689   [rpv3 OK]
  皖PB2153.jpg            gt=皖PB2153   lpr=皖PB2Z153  rpv3=皖PB2153   [rpv3 OK]
  粤A3ZB32.jpg            gt=粤A3ZB32   lpr=粤A3ZB832  rpv3=粤A3ZB32   [rpv3 OK]
  粤B0GJ76.jpg            gt=粤B0GJ76   lpr=鄂B0GJ76   rpv3=粤B0GJ76   [rpv3 OK]
  苏A57NT9.jpg            gt=苏A57NT9   lpr=苏A7NT9    rpv3=苏A57NT9   [rpv3 OK]
  苏A8DC31.jpg            gt=苏A8DC31   lpr=皖A8DC31   rpv3=苏A8DC31   [rpv3 OK]
  苏B810FT.jpg            gt=苏B810FT   lpr=WB810F    rpv3=苏B810FT   [rpv3 OK]
  苏G2F335.jpg            gt=苏G2F335   lpr=皖G2F335   rpv3=苏G2F335   [rpv3 OK]
  苏HXN335.jpg            gt=苏HXN335   lpr=苏HTXN335  rpv3=苏HXN335   [rpv3 OK]
  豫EZP772.jpg            gt=豫EZP772   lpr=皖EZP772   rpv3=豫EZP772   [rpv3 OK]
  豫RM6396.jpg            gt=豫RM6396   lpr=皖RM6396   rpv3=豫RM6396   [rpv3 OK]
  闽D33U29.jpg            gt=闽D33U29   lpr=皖D33U29   rpv3=闽D33U29   [rpv3 OK]

--- disagreements (rpv3 wrong) ---
  皖A05279.jpg            gt=皖A05279   lpr=皖A05279   rpv3=豫A05279   [LPRNet OK]
  皖A09N61.jpg            gt=皖A09N61   lpr=皖A09N61   rpv3=苏A09N31   [LPRNet OK]
  皖A0H627.jpg            gt=皖A0H627   lpr=皖A0H627   rpv3=京A0H627   [LPRNet OK]
  皖A0V790.jpg            gt=皖A0V790   lpr=皖A0V790   rpv3=皖A0N790   [LPRNet OK]
  皖A0Y000.jpg            gt=皖A0Y000   lpr=皖A0Y000   rpv3=粤A0Y000   [LPRNet OK]
  皖A15C18.jpg            gt=皖A15C18   lpr=皖A15C18   rpv3=京A15C18   [LPRNet OK]
  皖A18145.jpg            gt=皖A18145   lpr=皖A18145   rpv3=沪AJ8145   [LPRNet OK]
  皖A25654.jpg            gt=皖A25654   lpr=皖A25654   rpv3=陕A25654   [LPRNet OK]
  皖A267A8.jpg            gt=皖A267A8   lpr=皖A267A8   rpv3=桂A267A8   [LPRNet OK]
  皖A29C52.jpg            gt=皖A29C52   lpr=皖A29C52   rpv3=浙A29C52   [LPRNet OK]
  皖A2U448.jpg            gt=皖A2U448   lpr=皖A2U448   rpv3=粤A2J448   [LPRNet OK]
  皖A34V88.jpg            gt=皖A34V88   lpr=皖A34V88   rpv3=粤A34V88   [LPRNet OK]
  皖A49P06.jpg            gt=皖A49P06   lpr=皖A49P06   rpv3=京5A9P06   [LPRNet OK]
  皖A4M405.jpg            gt=皖A4M405   lpr=皖A4M405   rpv3=京A4M405   [LPRNet OK]
  皖A586H7.jpg            gt=皖A586H7   lpr=皖A586PP7  rpv3=粤A586H7   [both wrong]
  皖A596C7.jpg            gt=皖A596C7   lpr=皖A596C7   rpv3=云A596C7   [LPRNet OK]
  皖A5G895.jpg            gt=皖A5G895   lpr=皖A5G08985 rpv3=粤A5G422   [both wrong]
  皖A5T949.jpg            gt=皖A5T949   lpr=皖A5T949   rpv3=粤BA5T949  [LPRNet OK]
  皖A625X0.jpg            gt=皖A625X0   lpr=皖A625X0   rpv3=粤A625X0   [LPRNet OK]
  皖A6V359.jpg            gt=皖A6V359   lpr=皖A6V359   rpv3=桂A6V359   [LPRNet OK]
  皖A75556.jpg            gt=皖A75556   lpr=皖A75556   rpv3=粤A75556   [LPRNet OK]
  皖A77Q40.jpg            gt=皖A77Q40   lpr=皖A77Q40   rpv3=粤A77Q40   [LPRNet OK]
  皖A84V80.jpg            gt=皖A84V80   lpr=皖A84V80   rpv3=粤A84V80   [LPRNet OK]
  皖A884B0.jpg            gt=皖A884B0   lpr=皖A884B0   rpv3=冀A884B0   [LPRNet OK]
  皖A88G02.jpg            gt=皖A88G02   lpr=皖A88G091  rpv3=A86603    [both wrong]
  皖A906G2.jpg            gt=皖A906G2   lpr=皖A906G2   rpv3=桂A906G2   [LPRNet OK]
  皖AA1R81.jpg            gt=皖AA1R81   lpr=皖AA1R81   rpv3=苏AA1R81   [LPRNet OK]
  皖AA603W.jpg            gt=皖AA603W   lpr=皖AA603W   rpv3=京AA603K   [LPRNet OK]
  皖AB166M.jpg            gt=皖AB166M   lpr=皖AG166M   rpv3=沪A3A656   [both wrong]
  皖AB7182.jpg            gt=皖AB7182   lpr=皖AB7182   rpv3=粤AB7182   [LPRNet OK]
  皖AC8J48.jpg            gt=皖AC8J48   lpr=皖AC8JA8   rpv3=粤AD8J48   [both wrong]
  皖AD168D.jpg            gt=皖AD168D   lpr=皖AD168D   rpv3=粤ADU680   [LPRNet OK]
  皖ADE783.jpg            gt=皖ADE783   lpr=皖ADE783   rpv3=皖A0E783   [LPRNet OK]
  皖AE920X.jpg            gt=皖AE920X   lpr=皖AE920X   rpv3=藏AE920X   [LPRNet OK]
  皖AE955B.jpg            gt=皖AE955B   lpr=皖AE955B   rpv3=粤AE955B   [LPRNet OK]
  皖AEL010.jpg            gt=皖AEL010   lpr=皖AEL010   rpv3=京AEL010   [LPRNet OK]
  皖AF823X.jpg            gt=皖AF823X   lpr=皖AF823X   rpv3=赣AF823X   [LPRNet OK]
  皖AGG512.jpg            gt=皖AGG512   lpr=皖AGG512   rpv3=陕AGG512   [LPRNet OK]
  皖AH0V77.jpg            gt=皖AH0V77   lpr=皖AH0V77   rpv3=粤AH0V77   [LPRNet OK]
  皖AH8642.jpg            gt=皖AH8642   lpr=皖AH8642   rpv3=苏AH8642   [LPRNet OK]
  皖AH886C.jpg            gt=皖AH886C   lpr=皖AH886C   rpv3=豫AH886C   [LPRNet OK]
  皖AH926B.jpg            gt=皖AH926B   lpr=皖AH92Z6B  rpv3=桂AH926B   [both wrong]
  皖AHB011.jpg            gt=皖AHB011   lpr=皖AHB011   rpv3=粤AHB011   [LPRNet OK]
  皖AHN713.jpg            gt=皖AHN713   lpr=皖AHN713   rpv3=皖AHP713   [LPRNet OK]
  皖AHQ831.jpg            gt=皖AHQ831   lpr=皖AHQ831   rpv3=粤AHQ831   [LPRNet OK]
  皖AHX511.jpg            gt=皖AHX511   lpr=皖AHX511   rpv3=皖AHX5714  [LPRNet OK]
  皖AHX974.jpg            gt=皖AHX974   lpr=皖AHX974   rpv3=京AHX974   [LPRNet OK]
  皖AJ0J22.jpg            gt=皖AJ0J22   lpr=黑95       rpv3=E3B7      [both wrong]
  皖AJ201U.jpg            gt=皖AJ201U   lpr=皖AJ201U   rpv3=桂AJZ011   [LPRNet OK]
  皖AJ660Z.jpg            gt=皖AJ660Z   lpr=皖AJ660Z   rpv3=京AJ660Z   [LPRNet OK]
  皖AJ932K.jpg            gt=皖AJ932K   lpr=皖AY932KV  rpv3=鄂N9932K   [both wrong]
  皖AJ998V.jpg            gt=皖AJ998V   lpr=皖AJ998N   rpv3=粤AJ998V   [both wrong]
  皖AJU215.jpg            gt=皖AJU215   lpr=皖AJU215   rpv3=粤AJU215   [LPRNet OK]
  皖AJU922.jpg            gt=皖AJU922   lpr=闽JU922    rpv3=陕AJU922   [both wrong]
  皖AKK123.jpg            gt=皖AKK123   lpr=皖AKK123   rpv3=粤AKK123   [LPRNet OK]
  皖AKW105.jpg            gt=皖AKW105   lpr=皖AKW106   rpv3=赣AKW165   [both wrong]
  皖AL193R.jpg            gt=皖AL193R   lpr=皖AL1393R  rpv3=A173      [both wrong]
  皖AL509L.jpg            gt=皖AL509L   lpr=皖AL509L   rpv3=皖AL509L1  [LPRNet OK]
  皖AL5W29.jpg            gt=皖AL5W29   lpr=皖262X     rpv3=皖4229     [both wrong]
  皖AL6W26.jpg            gt=皖AL6W26   lpr=皖AL6W26   rpv3=京AL6W26   [LPRNet OK]
  皖ALJ620.jpg            gt=皖ALJ620   lpr=皖ALJ620   rpv3=京ALJ620   [LPRNet OK]
  皖AM336V.jpg            gt=皖AM336V   lpr=皖AM336V   rpv3=京AM336V   [LPRNet OK]
  皖AM700E.jpg            gt=皖AM700E   lpr=皖AM700E   rpv3=云AM700E   [LPRNet OK]
  皖AN1336.jpg            gt=皖AN1336   lpr=皖AN1336   rpv3=粤AU1336   [LPRNet OK]
  皖AP198F.jpg            gt=皖AP198F   lpr=皖AP198F   rpv3=京AP198F   [LPRNet OK]
  皖AP666P.jpg            gt=皖AP666P   lpr=皖8666P    rpv3=R6560     [both wrong]
  皖AP8950.jpg            gt=皖AP8950   lpr=皖AP8950   rpv3=粤AP8950   [LPRNet OK]
  皖AR5065.jpg            gt=皖AR5065   lpr=皖AR5065   rpv3=新AR5065   [LPRNet OK]
  皖AR690K.jpg            gt=皖AR690K   lpr=皖AR690K   rpv3=京AR690K   [LPRNet OK]
  皖AR8X99.jpg            gt=皖AR8X99   lpr=皖ASSJY9   rpv3=粤AR8X99   [both wrong]
  皖AS065M.jpg            gt=皖AS065M   lpr=皖AS065M   rpv3=粤AS065M   [LPRNet OK]
  皖AS0825.jpg            gt=皖AS0825   lpr=QAS082    rpv3=云AS0825   [both wrong]
  皖AS371Z.jpg            gt=皖AS371Z   lpr=皖AS371Z   rpv3=粤A33712   [LPRNet OK]
  皖AS7E15.jpg            gt=皖AS7E15   lpr=皖AS7E15   rpv3=琼AS7E15   [LPRNet OK]
  皖AS836Z.jpg            gt=皖AS836Z   lpr=皖AS8367   rpv3=粤A3S8361  [both wrong]
  皖AS8L21.jpg            gt=皖AS8L21   lpr=皖AS8L21   rpv3=粤AS8L21   [LPRNet OK]
  皖AT152M.jpg            gt=皖AT152M   lpr=皖AT152M   rpv3=沪AT152M   [LPRNet OK]
  皖ATB916.jpg            gt=皖ATB916   lpr=皖ATB916   rpv3=京ATB916   [LPRNet OK]
  皖AU833R.jpg            gt=皖AU833R   lpr=皖A833R    rpv3=京AU833R   [both wrong]
  皖AUU185.jpg            gt=皖AUU185   lpr=皖AUU185   rpv3=粤AUU185   [LPRNet OK]
  皖AVQ225.jpg            gt=皖AVQ225   lpr=皖AV0225   rpv3=湘ANQ225   [both wrong]
  皖AW5V00.jpg            gt=皖AW5V00   lpr=皖AWV00    rpv3=陕AW5V00   [both wrong]
  皖AWU124.jpg            gt=皖AWU124   lpr=皖AWU124   rpv3=苏AWJ124   [LPRNet OK]
  皖AX799L.jpg            gt=皖AX799L   lpr=皖AX799L1  rpv3=皖AX7991   [both wrong]
  皖AXC602.jpg            gt=皖AXC602   lpr=皖AXC602   rpv3=京AXC602   [LPRNet OK]
  皖AY3633.jpg            gt=皖AY3633   lpr=皖AY3633   rpv3=琼AY3633   [LPRNet OK]
  皖AY4K56.jpg            gt=皖AY4K56   lpr=皖AY4K56   rpv3=陕AY4K56   [LPRNet OK]
  皖AY605B.jpg            gt=皖AY605B   lpr=皖AY605BH  rpv3=皖A605B    [both wrong]
  皖AY628X.jpg            gt=皖AY628X   lpr=皖AY628X   rpv3=鄂AX628X   [LPRNet OK]
  皖AY800C.jpg            gt=皖AY800C   lpr=皖AY800C   rpv3=粤AX800C   [LPRNet OK]
  皖AZX040.jpg            gt=皖AZX040   lpr=皖AZX040   rpv3=粤A7X040   [LPRNet OK]
  皖DJ9650.jpg            gt=皖DJ9650   lpr=赣D9650    rpv3=湘DJ9650   [both wrong]
  皖H18147.jpg            gt=皖H18147   lpr=皖H18147   rpv3=皖HJ8147   [LPRNet OK]
  苏E5YR23.jpg            gt=苏E5YR23   lpr=苏E5YR23   rpv3=苏E5XR23   [LPRNet OK]

paired: LPRNet-only-correct=71  rpv3-only-correct=89  discordant=160  McNemar exact p=0.1788

--- LPRNet error profile by character position ---
  position 0 (0=province): 16 errors
  position 1 (0=province): 1 errors
  position 2 (0=province): 3 errors
  position 3 (0=province): 9 errors
  position 4 (0=province): 4 errors
  position 5 (0=province): 5 errors
  position 6 (0=province): 15 errors

written C:\Users\26671\Desktop\车牌识别\_evidence\lprnet_accuracy_20260918.md
EXIT=0
